movie_id,title,bechdel_score,female_subjects,female_objects,female_ratio,male_subjects,male_objects,male_ratio,ratio_diff,significant_diff
m0,10 things i hate about you,3.0,196.0,45.0,0.8132780082987552,182.0,29.0,0.8625592417061612,0.04928123340740598,False
m102,intolerable cruelty,3.0,56.0,10.0,0.8484848484848485,194.0,21.0,0.9023255813953488,0.05384073291050029,False
m103,it happened one night,3.0,140.0,58.0,0.7070707070707071,312.0,32.0,0.9069767441860465,0.19990603711533939,True
m104,jfk,3.0,153.0,21.0,0.8793103448275862,221.0,36.0,0.8599221789883269,-0.019388165839259286,False
m105,jackie brown,3.0,553.0,59.0,0.9035947712418301,181.0,60.0,0.7510373443983402,-0.15255742684348983,True
m107,jason x,3.0,36.0,5.0,0.8780487804878049,35.0,3.0,0.9210526315789473,0.043003851091142464,False
m108,jaws,3.0,24.0,8.0,0.75,90.0,35.0,0.72,-0.030000000000000027,False
m11,air force one,1.0,18.0,11.0,0.6206896551724138,168.0,28.0,0.8571428571428571,0.23645320197044328,True
m113,krull,1.0,91.0,15.0,0.8584905660377359,232.0,24.0,0.90625,0.04775943396226412,False
m116,leaving las vegas,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m117,legally blonde,3.0,314.0,54.0,0.8532608695652174,99.0,35.0,0.7388059701492538,-0.11445489941596365,True
m118,legend,3.0,252.0,16.0,0.9402985074626866,298.0,32.0,0.9030303030303031,-0.037268204432383545,False
m119,life as a house,3.0,215.0,20.0,0.9148936170212766,357.0,39.0,0.9015151515151515,-0.013378465506125092,False
m121,little nicky,1.0,68.0,11.0,0.8607594936708861,133.0,24.0,0.8471337579617835,-0.013625735709102638,False
m123,lost highway,1.0,86.0,6.0,0.9347826086956522,124.0,24.0,0.8378378378378378,-0.09694477085781439,False
m124,lost horizon,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m126,minority report,1.0,97.0,38.0,0.7185185185185186,416.0,82.0,0.8353413654618473,0.11682284694332878,True
m13,airplane!,3.0,21.0,6.0,0.7777777777777778,92.0,6.0,0.9387755102040817,0.16099773242630389,True
m130,marty,3.0,135.0,6.0,0.9574468085106383,252.0,24.0,0.9130434782608695,-0.044403330249768835,False
m132,meet john doe,3.0,110.0,6.0,0.9482758620689655,115.0,6.0,0.9504132231404959,0.002137361071530397,False
m134,metropolis,1.0,97.0,16.0,0.8584070796460177,112.0,12.0,0.9032258064516129,0.04481872680559518,False
m137,monkeybone,3.0,86.0,10.0,0.8958333333333334,144.0,14.0,0.9113924050632911,0.01555907172995774,False
m139,mr. smith goes to washington,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m14,alien nation,1.0,36.0,19.0,0.6545454545454545,182.0,16.0,0.9191919191919192,0.2646464646464647,True
m140,mr. deeds goes to town,3.0,287.0,50.0,0.8516320474777448,303.0,74.0,0.8037135278514589,-0.047918519626285905,False
m143,mystery men,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m145,next friday,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m146,nick of time,3.0,142.0,60.0,0.7029702970297029,115.0,13.0,0.8984375,0.19546720297029707,True
m148,a nightmare on elm street,3.0,12.0,12.0,0.5,100.0,16.0,0.8620689655172413,0.3620689655172413,True
m149,ninotchka,3.0,101.0,21.0,0.8278688524590164,664.0,86.0,0.8853333333333333,0.05746448087431688,False
m15,aliens,3.0,64.0,12.0,0.8421052631578947,149.0,16.0,0.9030303030303031,0.06092503987240838,False
m151,no country for old men,3.0,104.0,30.0,0.7761194029850746,285.0,37.0,0.8850931677018633,0.10897376471678866,True
m153,"o brother, where art thou?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m154,an officer and a gentleman,3.0,103.0,20.0,0.8373983739837398,264.0,20.0,0.9295774647887324,0.09217909080499254,False
m155,panic room,3.0,112.0,8.0,0.9333333333333333,84.0,10.0,0.8936170212765957,-0.039716312056737646,False
m16,amadeus,3.0,43.0,16.0,0.7288135593220338,456.0,66.0,0.8735632183908046,0.1447496590687708,True
m163,punch-drunk love,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m166,raging bull,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m167,rear window,3.0,173.0,10.0,0.9453551912568307,204.0,18.0,0.918918918918919,-0.02643627233791168,False
m168,rebel without a cause,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m17,an american werewolf in london,2.0,73.0,12.0,0.8588235294117647,251.0,23.0,0.916058394160584,0.057234864748819336,False
m170,reservoir dogs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m172,scary movie 2,3.0,139.0,13.0,0.9144736842105263,179.0,16.0,0.9179487179487179,0.0034750337381915797,False
m173,serial mom,3.0,182.0,8.0,0.9578947368421052,112.0,15.0,0.8818897637795275,-0.0760049730625777,False
m175,"sex, lies, and videotape",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m178,sideways,3.0,190.0,17.0,0.9178743961352657,284.0,33.0,0.8958990536277602,-0.021975342507505435,False
m179,signs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m187,solaris,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m19,american outlaws,1.0,59.0,32.0,0.6483516483516484,318.0,51.0,0.8617886178861789,0.2134369695345305,True
m190,stalag 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m192,star trek iii: the search for spock,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m193,star trek: the wrath of khan,3.0,124.0,11.0,0.9185185185185185,133.0,25.0,0.8417721518987342,-0.07674636661978429,False
m195,star trek: insurrection,3.0,46.0,22.0,0.6764705882352942,128.0,14.0,0.9014084507042254,0.22493786246893122,True
m196,star trek: first contact,3.0,38.0,3.0,0.926829268292683,103.0,16.0,0.865546218487395,-0.06128304980528798,False
m197,star trek vi: the undiscovered country,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m198,star trek: nemesis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m199,starman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m20,american psycho,3.0,181.0,28.0,0.8660287081339713,259.0,64.0,0.8018575851393189,-0.06417112299465233,False
m200,strange days,3.0,108.0,6.0,0.9473684210526315,221.0,9.0,0.9608695652173913,0.013501144164759782,False
m202,swingers,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m21,antitrust,2.0,93.0,4.0,0.9587628865979382,251.0,56.0,0.8175895765472313,-0.14117331005070688,True
m218,thirteen days,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m22,austin powers: international man of mystery,2.0,61.0,5.0,0.9242424242424242,286.0,56.0,0.8362573099415205,-0.08798511430090372,False
m221,total recall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m222,tremors,3.0,164.0,14.0,0.9213483146067416,80.0,11.0,0.8791208791208791,-0.0422274354858625,False
m224,twin peaks: fire walk with me,3.0,206.0,46.0,0.8174603174603174,140.0,22.0,0.8641975308641975,0.04673721340388004,False
m227,new nightmare,3.0,38.0,5.0,0.8837209302325582,98.0,18.0,0.8448275862068966,-0.03889334402566158,False
m229,wild at heart,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m230,wonder boys,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m234,agnes of god,3.0,296.0,43.0,0.8731563421828908,316.0,48.0,0.8681318681318682,-0.005024474051022687,False
m236,alien,3.0,166.0,14.0,0.9222222222222223,136.0,17.0,0.8888888888888888,-0.03333333333333344,False
m238,all about eve,3.0,428.0,78.0,0.8458498023715415,397.0,35.0,0.9189814814814815,0.07313167910994,False
m24,bachelor party,3.0,153.0,4.0,0.9745222929936306,129.0,23.0,0.8486842105263158,-0.12583808246731476,True
m241,an american werewolf in paris,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m243,annie hall,3.0,225.0,45.0,0.8333333333333334,400.0,53.0,0.8830022075055187,0.04966887417218535,False
m245,antz,3.0,103.0,17.0,0.8583333333333333,80.0,20.0,0.8,-0.05833333333333324,False
m247,apocalypse now,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m248,arctic blue,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m249,as good as it gets,3.0,135.0,30.0,0.8181818181818182,202.0,21.0,0.905829596412556,0.08764777823073777,False
m25,backdraft,1.0,64.0,14.0,0.8205128205128205,247.0,31.0,0.8884892086330936,0.06797638812027307,False
m250,assassins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m252,a walk to remember,3.0,155.0,22.0,0.8757062146892656,140.0,20.0,0.875,-0.0007062146892655718,False
m253,back to the future,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m254,badlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m256,barton fink,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m257,basic instinct,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m258,basquiat,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m259,batman returns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m261,batman forever,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m264,beavis and butt-head do america,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m265,beetle juice,3.0,118.0,6.0,0.9516129032258065,179.0,16.0,0.9179487179487179,-0.03366418527708859,False
m266,being there,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m267,being john malkovich,3.0,173.0,31.0,0.8480392156862745,267.0,48.0,0.8476190476190476,-0.00042016806722688926,False
m271,blade ii,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m274,blood simple.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m276,blow,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m277,la battaglia di algeri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m28,barry lyndon,1.0,49.0,3.0,0.9423076923076923,97.0,32.0,0.751937984496124,-0.19036970781156826,True
m285,broadcast news,3.0,296.0,61.0,0.8291316526610645,272.0,42.0,0.8662420382165605,0.03711038555549606,False
m286,a bucket of blood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m287,buffy the vampire slayer,3.0,108.0,7.0,0.9391304347826087,304.0,63.0,0.8283378746594006,-0.11079256012320815,True
m288,bull durham,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m29,basic,3.0,84.0,7.0,0.9230769230769231,253.0,27.0,0.9035714285714286,-0.019505494505494547,False
m290,catwoman,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m291,cellular,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m294,cherry falls,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m296,chinatown,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
