text,booster_count
They do not!,0
They do to!,0
I hope so.,0
She okay?,0
Let's go.,0
Wow,0
Okay -- you're gonna need to learn how to lie.,0
No,0
"I'm kidding.  You know how sometimes you just become this ""persona""?  And you don't know how to quit?",0
Like my fear of wearing pastels?,0
"The ""real you"".",0
What good stuff?,0
I figured you'd get to the good stuff eventually.,0
Thank God!  If I had to hear one more story about your coiffure...,0
"Me.  This endless ...blonde babble. I'm like, boring myself.",0
What crap?,0
do you listen to this crap?,0
No...,0
"Then Guillermo says, ""If you go any lighter, you're gonna look like an extra on 90210.""",0
You always been this selfish?,1
But,0
Then that's all you had to say.,0
"Well, no...",0
"You never wanted to go out with 'me, did you?",1
I was?,0
"I looked for you back at the party, but you always seemed to be ""occupied"".",1
Tons,0
Have fun tonight?,0
I believe we share an art instructor,0
You know Chastity?,0
"Looks like things worked out tonight, huh?",0
Hi.,0
Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.,1
So that's the kind of guy she likes? Pretty ones?,0
"Lesbian?  No. I found a picture of Jared Leto in one of her drawers, so I'm pretty sure she's not harboring same-sex tendencies.",0
She's not a...,0
I'm workin' on it. But she doesn't seem to be goin' for him.,0
"I really, really, really wanna go, but I can't.  Not unless my sister goes.",0
Sure have.,0
"Eber's Deep Conditioner every two days. And I never, ever use a blowdryer without the diffuser attachment.",1
How do you get your hair to look like that?,0
You're sweet.,0
You have my word.  As a gentleman,0
I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?,0
You got something on your mind?,0
Where?,0
There.,0
"Well, there's someone I think might be --",0
How is our little Find the Wench A Date plan progressing?,1
Forget French.,0
That's because it's such a nice one.,0
I don't want to know how to say that though.  I want to know useful things. Like where the good stores are.  How much does champagne cost?  Stuff like Chat.  I have never in my life had to point out my head to someone.,1
Right.  See?  You're ready for the quiz.,0
C'esc ma tete. This is my head,1
Let me see what I can do.,0
"Gosh, if only we could find Kat a boyfriend...",1
That's a shame.,0
"Unsolved mystery.  She used to be really popular when she started high school, then it was just like she got sick of it or something.",0
Why?,0
Seems like she could get a date easy enough...,0
"The thing is, Cameron -- I'm at the mercy of a particularly hideous breed of loser.  My sister.  I can't date until she does.",1
Cameron.,0
"No, no, it's my fault -- we didn't have a proper introduction ---",0
Forget it.,0
You're asking me out.  That's so cute. What's your name again?,0
Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?,0
Not the hacking and gagging and spitting part.  Please.,0
"Well, I thought we'd start with pronunciation, if that's okay with you.",0
Can we make this quick?  Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break- up on the quad.  Again.,1
I did.,0
You think you ' re the only sophomore at the prom?,1
I don't have to be home 'til two.,0
I have to be home in twenty minutes.,0
All I know is -- I'd give up my private line to go out with a guy like Joey.,1
"Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with, you know?",0
"Bianca, I don't think the highlights of dating Joey Dorsey are going to include door-opening and coat-holding.",0
Combination.  I don't know -- I thought he'd be different.  More of a gentleman...,0
Is he oily or dry?,1
"He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all, but he's not exactly relevant party conversation.",1
"Would you mind getting me a drink, Cameron?",0
Great,0
Joey.,0
Who?,0
Where did he go?  He was just here.,0
You might wanna think about it,0
No.,0
Did you change your hair?,0
You know the deal.  I can ' t go if Kat doesn't go --,0
"Listen, I want to talk to you about the prom.",0
You're concentrating awfully hard considering it's gym class.,0
"Hi, Joey.",0
"Hey, sweet cheeks.",0
My agent says I've got a good shot at being the Prada guy next year.,0
Neat...,0
"It's a gay cruise line, but I'll be, like, wearing a uniform and stuff.",0
Queen Harry?,0
"So yeah, I've got the Sears catalog thing going -- and the tube sock gig "" that's gonna be huge.  And then I'm up for an ad for Queen Harry next week.",0
Hopefully.,0
"Exactly  So, you going to Bogey Lowenbrau's thing on Saturday?",0
Expensive?,0
It's more,0
Perm?,0
Patrick -- is that- a.,1
It's just you.,0
Is that woman a complete fruit-loop or is it just me?,2
No! I just wanted,0
What? To completely damage me?  To send me to therapy forever? What?,1
I just wanted --,0
You set me up.,0
Let go!,0
So did you,0
"You looked beautiful last night, you know.",0
"I guess I'll never know, will I?",1
"Not all experiences are good, Bianca. You can't always trust the people you want to.",1
"God, you're just like him! Just keep me locked away in the dark, so I can't experience anything for myself",0
I guess I thought I was protecting you.,0
I'm not stupid enough to repeat your mistakes.,0
That's not,0
"No. you didn't!  If you really thought I could make my own decisions, you would've let me go out with him instead of helping Daddy hold me hostage.",0
I wanted to let you make up your own mind about him.,0
Why didn't you tell me?,0
"After that, I swore I'd never do anything just because ""everyone else"" was doing it.  And I haven't since. Except for Bogey's party, and my stunning gastro-intestinal display --",1
But,0
"Just once.  Afterwards, I told him I didn't want to anymore.  I wasn't ready. He got pissed.  Then he broke up with me.",0
You did what?,0
He said everyone was doing it.  So I did it.,0
As in...,0
"Now I do.  Back then, was a different story.",0
But you hate Joey,0
"He was, like, a total babe",0
Why?,0
In 9th.  For a month,0
What?,0
"Joey never told you we went out, did he?",1
"I wish I had that luxury. I'm the only sophomore that got asked to the prom and I can't go, because you won ' t.",1
"I do care. But I'm a firm believer in doing something for your own reasons, not someone else ' s .",0
Like you care.,0
"Listen, I know you hate having to sit home because I'm not Susie High School.",0
You're welcome.,0
"I don't get you.  You act like you're too good for any of this, and then you go totally apeshit when you get here.",1
I really don't think I need any social advice from you right now.,0
"Bianca, I need to talk to you -- I need to tell you --",0
Can we go now?,0
You are so completely unbalanced.,1
"Yeah, he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out, I should obsess over a dead guy, too.",0
It's Shakespeare.  Maybe you've heard of him?,0
Like I'm supposed to know what that even means.,0
At least I'm not a clouted fen- sucked hedge-pig.,0
Can't you forget for just one night that you're completely wretched?,1
"Bogey Lowenstein's party is normal, but you're too busy listening to Bitches Who Need Prozac to know that.",1
What's normal?,0
"You're ruining my life'  Because you won't be normal, I can't be normal.",0
I think you're a freak.  I think you do this to torture me.  And I think you suck.,0
What do you think?,0
"Oh, I thought you might have a date  I don't know why I'm bothering to ask, but are you going to Bogey Lowenstein's party Saturday night?",0
It means that Gigglepuss is playing at Club Skunk and we're going.,1
"Oh my God, does this mean you're becoming normal?",0
Can you at least start wearing a bra?,0
I have the potential to smack the crap out of you if you don't get out of my way.,0
"Nowhere... Hi, Daddy.",0
Where've you been?,0
"I have a date, Daddy.  And he ' s not a captain of oppression like some men we know.",0
I'm missing something.,0
Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!,0
You're not going unless your sister goes.  End of story.,0
"He's not a ""hot rod"".  Whatever that is.",1
"It's that hot rod Joey, right? That ' s who you want me to bend my rules for?",0
"No, but",0
The prom?  Kat has a date?,0
"Daddy, I want to discuss the prom with you. It's tomorrow night --",0
Because she'll scare them away.,0
Why?,0
Promise me you won't talk to any boys unless your sister is present.,1
Just for a minute,0
"Daddy, no!",0
Wear the belly before you go.,0
It's just a party. Daddy.,0
"Oh, God.  It's starting.",0
"If Kat's not going, you're not going.",0
"Daddy, people expect me to be there!",0
"It's just a party. Daddy, but I knew you'd forbid me to go since ""Gloria Steinem"" over there isn't going --",0
Otherwise known as an orgy?,0
"If you must know, we were attempting to go to a small study group of friends.",1
And where're you going?,0
"Daddy, I --",0
Exactly my point,0
But she doesn't want to date.,0
"But it's not fair -- she's a mutant, Daddy!",0
Then neither will you.  And I'll get to sleep at night.,0
What if she never starts dating?,1
No! You're not dating until your sister starts dating.  End of discussion.,0
"Now don't get upset. Daddy, but there's this boy... and I think he might ask...",0
Just sent 'em through.,0
"Padua girls.  One tall, decent body. The other one kinda short and undersexed?",0
Never,1
Fan of a fan.  You see a couple of minors come in?,0
Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?,0
"Always a pleasure, Brucie.",1
"Best case scenario, you're back on the payroll for awhile.",0
You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.,0
"No, I ' m not.",0
"Buttholus extremus.  But hey, you're making progress.",0
The hell is that?  What kind of 'guy just picks up a girl and carries her away while you're talking to her?,1
Extremely unfortunate maneuver.,1
"Hell, I've just been going over the whole thing in my head and -",0
You told me that part already.,0
It's her favorite band.,0
Assail your ears for one night.,0
Okay!  I wasn't sure,0
He's pretty!,0
Dead at forty-one.,0
Her favorite uncle,0
It's a lung cancer issue,0
Number one.  She hates smokers,0
Are you kidding?  He'll piss himself with joy.  He's the ultimate kiss ass.,0
Will Bogey get bent?,0
"In that case, we'll need to make it a school-wide blow out.",0
This is it.  A golden opportunity. Patrick can ask Katarina to the party.,1
"Like we had a choice?  Besides -- when you let the enemy think he's orchestrating the battle, you're in a position of power. We let him pretend he's calling the shots, and while he's busy setting up the plan, you have time to woo Bianca.",0
You got him involved?,0
Hey -- I've gotta have a few clients when I get to Wall Street.,0
I thought you hated those people.,0
"You know, if you do go out with Bianca, you'd be set.  You'd outrank everyone. Strictly A-list.  With me by your side.",0
That's what I just said,0
Did she actually say she'd go out with you?,0
Forget his reputation.  Do you think we've got a plan or not?,0
"I'm serious, man, he's whacked.  He sold his own liver on the black market so he could buy new speakers.",0
They always let felons sit in on Honors Biology?,1
No kidding.  He's a criminal.  I heard he lit a state trooper on fire.  He just got out of Alcatraz...,0
He seems like he thrives on danger,0
What makes you think he'll do it?,0
You wanna go out with him?,0
What about him?,0
"Unlikely, but even so, she still can't go out with you.  So what's the point?",0
"I teach her French, get to know her, dazzle her with charm and she falls in love with me.",0
"The mewling, rampalian wretch herself.",0
That's her?  Bianca's sister?,0
"Yeah, just a minor encounter with the shrew.",0
"You could consecrate with her, my friend.",0
You mean I'd get a chance to talk to her?,0
Guess who just signed up for a tutor?,0
Sure do ... my Mom's from Canada,0
You know French?,0
"Joey Dorsey?  Perma-shit-grin.  I wish I could say he's a moron, but he's number twelve in the class.  And a model.  Mostly regional stuff, but he's rumored to have a big tube sock ad coming out.",0
He always have that shit-eating grin?,1
"Because they're bred to.  Their mothers liked guys like that, and their grandmothers before them. Their gene pool is rarely diluted.",1
Why do girls like that always like guys like that?,1
"I could start with your haircut, but it doesn't matter.  She's not allowed to date until her older sister does.  And that's an impossibility.",0
Why not?,0
Bianca Stratford.  Sophomore. Don't even think about it,0
Who is she?,1
"You burn, you pine, you perish?",0
That girl -- I --,0
"Yeah, but these guys have never seen a horse.  They just jack off to Clint Eastwood.",1
That I'm used to.,0
Couple thousand. Most of them evil,0
How many people go here?,0
Get out!,0
Thirty-two.,0
How many people were in your old school?,0
"Yeah.  A couple.  We're outnumbered by the cows, though.",0
I was kidding. People actually live there?,0
"North, actually.  How'd you   ?",0
So -- which Dakota you from?,0
C'mon.  I'm supposed to give you the tour.,0
So they tell me...,0
You the new guy?,0
You get the girl.,0
What's the worst?,0
Where?,0
She kissed me.,0
You makin' any headway?,0
She just needs time to cool off I'll give it a day.,0
She hates you with the fire of a thousand suns .  That's a direct quote,0
I don ' t know.  I decided not to nail her when she was too drunk to remember it.,0
What'd you do to her?,0
"Then, go get her",0
Sure,0
Cameron -- do you like the girl?,0
"She's partial to Joey, not me",0
What 're you talking about?,0
It's off. The whole thing.,0
"Cameron, I'm a little busy",0
"Don't make me do it, man",0
Gigglepuss is playing there tomorrow night.,1
So what does that give me?  I'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?,0
"Okay -- Likes:  Thai food, feminist prose, and ""angry, stinky girl music of the indie-rock persuasion"".",0
I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.,0
What've you got for me?,0
Yeah -- we'll see.,0
And he means that strictly in a non- prison-movie type of way.,0
And why would I do that?,0
Leave my sister alone.,0
Your sister here?,0
Away.,0
Where ya goin?,0
Not at all,0
Hey -- do you mind?,0
They're running the rest of me next month.,0
"Yeah, and I noticed the only part of you featured in your big Kmart spread was your elbow.  Tough break.",1
"The vintage look is over, Kat. Haven't you been reading your Sassy?",1
Enough with the Barbie n' Ken shit. I know.,0
"I don't know, Dorsey. ..the limo.-the flowers.  Another hundred for the tux --",0
Get her to act like a human,0
Do what?,0
How'd you do it?,0
A deal's a deal.,0
It's about time.,0
"Forget her sister, then.",0
Forget it.,0
A hundred bucks a date.,0
What?,0
I just upped my price,0
I got her under control. She just acts crazed in public to keep up the image.,0
Watching the bitch trash my car doesn't count as a date.,0
I'm on it,0
"When I shell out fifty, I expect results.",0
"Fifty, and you've got your man.",0
Take it or leave it.  This isn't a negotiation.,0
"Fine, thirty.",0
I can't take a girl like that out on twenty bucks.,0
How much?,0
I can't date her sister until that one gets a boyfriend.  And that's the catch. She doesn't want a boyfriend.,0
You're gonna pay me to take out some girl?,0
"You got it, Verona.  I pick up the tab, you do the honors.",0
But you'd go out with her if you had the cake?,0
You need money to take a girl out,0
You just said,0
"Sure, Sparky.  I'll get right on it.",0
"Yeah, whatever.  I want you to go out with her.",0
"Two legs, nice rack...",0
What do you think?,0
Yeah,0
Hey -- it's all for the higher good right?,0
You better not fuck this up.  I'm heavily invested.,0
What?  We took bathes together when we were kids.,0
You and Verona?,0
"Uh,  yeah.  We're old friend*",0
I hear you're helpin' Verona.,0
So what you need to do is recruit a guy who'll go out with her.  Someone who's up for the job.,1
Does this conversation have a purpose?,0
But she can't go out with you because her sister is this insane head case and no one will go out with her. right?,1
We're not.,0
"Well, actually, I thought I'd run an idea by you.  You know, just to see if you're interested.",0
We don't chat.,0
Nope - just came by to chat,0
Are you lost?,0
Hey.,0
"Oh, honey -- tell me we haven't' progressed to full-on hallucinations.",0
William - he asked me to meet him here.,0
Who?,0
Have you seen him?,0
"Oh, good.  Something new and different for us.",0
You ' re looking at this from the wrong perspective.  We're making a statement.,0
"Okay, okay, we won't go.  It's not like I have a dress anyway",0
"Listen to you!  You sound like Betty, all pissed off because Archie is taking Veronica.",1
"Well, I guess we're not, since we don't have dates .",0
Can you even imagine?  Who the hell would go to this a bastion of commercial excess?,0
I got drunk.  I puked.  I got rejected. It was big fun.,0
You didn't,0
I did Bianca a favor and it backfired.,0
You didn't have a choice?  Where's Kat and what have you done with her?,0
I didn't have a choice.,0
You went to the party?  I thought we were officially opposed to suburban social activity.,0
Who cares?,0
What'd he say?,0
No fear.,0
You think this'll work?,0
"If I was Bianca, it would be, ""Any school you want, precious.  Don't forget your tiara.""",0
Does it matter?,0
"I appreciate your efforts toward a speedy death, but I'm consuming.  Do you mind?",0
Neither has his heterosexuality.,0
That's never been proven,1
William didn't even go to high school,0
William would never have gone to a state school.,1
"So he has this huge raging fit about Sarah Lawrence and insists that I go to his male-dominated, puking frat boy, number one golf team school. I have no say at all.",0
You could always go with me.  I'm sure William has some friends.,1
The people at this school are so incredibly foul.,1
But imagine the things he'd say during sex.,0
"I realize that the men of this fine institution are severely lacking, but killing yourself so you can be with William Shakespeare is beyond the scope of normal teenage obsessions.  You're venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy.",2
An attempted slit.,0
What's this?,0
Just a little.,0
"Mandella, eat.  Starving yourself is a very slow way to die.",2
Block E?,0
He always look so,1
I'm sure he's completely incapable of doing anything that interesting.,1
That's Pat Verona? The one who was gone for a year? I heard he was doing porn movies.,0
Patrick Verona   Random skid.,0
Who's that?,0
Don ' t you even dare. . .,0
"Oh, Bianca?  Can you get me my freshman yearbook?",0
Because I like to torture you.,0
Why is my veggie burger the only burnt object on this grill?,2
"Yeah, but then I fucked up. I fell for her.",0
Is that right?,1
"Besides, I had some extra cash. Some asshole paid me to take out a really great girl.",0
I thought you could use it. When you start your band.,0
A Fender Strat. You bought this?,0
I didn't care about the money.,0
"Really?  What was it like?  A down payment now, then a bonus for sleeping with me?",0
It wasn't like that.,0
You were paid to take me out!  By -- the one person I truly hate.  I knew it was a set-up!,1
Wait I...,0
It gets worse -- you still have your freshman yearbook?,0
That ' s completely adorable!,1
"That's where I was last year.  She'd never lived alone -- my grandfather died -- I stayed with her.  I wasn't in jail, I don't know Marilyn Manson, and I've never slept with a Spice Girl.  I spent a year sitting next to my grandma on the couch watching Wheel of Fortune.  End of story.",2
What?,0
My grandmother's .,0
"Look, I'm  -- sorry -- that I questioned your motives.  I was wrong.",0
Oh huh,0
It's just something I had.  You know,0
It's Scurvy's.  His date got convicted. Where'd you get the dress?,0
How'd you get a tux at the last minute?,0
Nothing!  There's nothing in it for me. Just the pleasure of your company.,0
"Answer the question, Patrick",0
You need therapy.  Has anyone ever told you that?,0
You tell me.,0
So I have to have a motive to be with you?,0
Create a little drama?  Start a new rumor?  What?,0
Because I don't want to. It's a stupid tradition.,0
Why not?,0
"No, I won't go with you",0
No what?,0
No.,0
You know what I mean,0
Is that a request or a command?,1
Go to the prom with me,0
You're amazingly self-assured. Has anyone ever told you that?,0
No one else knows,0
What?,0
You're sweet.  And sexy.  And completely hot for me.,1
No -- something real.  Something no one else knows.,0
I hate peas.,0
Tell me something true.,0
I know the porn career's a lie.,0
Hearsay.,0
The duck?,0
Fallacy.,0
State trooper?,0
For. . . ?,0
You up for it?,0
You never disappointed me.,1
How?,0
Then you screwed up,0
Something like that,0
"So if you disappoint them from the start, you're covered?",0
I don't like to do what people expect. Then they expect it all the time and they get disappointed when you change.,0
Yes,0
Acting the way we do.,0
So what's your excuse?,0
"Yeah, well, don't let it get out",0
A soft side? Who knew?,0
I dazzled him with my wit,0
So how'd you get Chapin to look the other way?,0
Good call.,0
I figured it had to be something ridiculous to win your respect.  And piss you off.,0
The Partridge Family?,0
Maybe.,0
You want me to climb up and show you how to get down?,0
Forget it.  I'm stayin'.,0
Put your right foot there --,0
Try lookin' at it from this angle,0
C'mon.  It's not that bad,0
I guess I never told you I'm afraid of heights.,1
"Look up, sunshine",0
He left!  I sprung the dickhead and he cruised on me.,0
Other than my upchuck reflex? Nothing.,0
So what did I have an effect on ?,0
Don't for one minute think that you had any effect whatsoever on my panties.,0
Unwelcome?  I guess someone still has her panties in a twist.,0
Unwelcome.,0
Wholesome.,0
Pleasant?,0
You 're so --,0
I heard there was a poetry reading.,0
What are you doing here?,0
"Excuse me, have you seen The Feminine Mystique?  I lost my copy.",0
"No offense, but you're sister is without.  I know everyone likes her and all, but ...",1
BIANCA,0
Who?,0
He just wants me to be someone I'm not.,0
So what ' s up with your dad?  He a pain in the ass?,0
I'm gettin' there,0
"Oh, so now you think you know me?",0
You don't strike me as the type that would ask permission.,0
My father wouldn't approve of that that,0
Start a band?,0
This.,0
Do what?,0
I should do this.,0
Why'd you lie?,0
Then why'd you ask?,0
"No, you weren't",0
Maybe.,0
Were you in jail?,0
Busy,0
When you were gone last year -- where were you?,0
But it's Gigglepuss - I know you like them.  I saw you there.,0
And I'm in control of it.,0
What?,0
Kat! Wake up!,0
You know what they say,0
I thought you were above all that,0
"Hey man. . .  You don ' t think I can be ""cool""?  You don't think I can be ""laid back"" like everyone else?",0
I know.  It'd have to be a pretty big deal to get you to mainline tequila. You don't seem like the type.,0
I hate him.,0
Dorsey.,0
Who?,0
Why'd you let him get to you?,0
Just let me sit down.,0
See that?  Who needs affection when I've got blind hatred?,0
Like you could find one,0
Because then I'd have to start taking out girls who like me.,0
Why?,0
"Sure, I do",0
You don't care if I die,0
I told you,0
Why 're you doing this?,0
Leave it to you to use big words when you're shitfaced.,0
This is so patronizing.,1
What if you have a concussion? My dog went to sleep with a concussion and woke up a vegetable. Not that I could tell the difference...,0
"I know, just let me sleep",0
"Uh, uh. You lie down and you'll go to sleep",0
I just need to lie down for awhile,0
You're not okay.,0
I'm fine. I'm,0
Okay?,0
"Funny, you're the only one",1
"I say, do what you wanna do.",0
"""I'm getting trashed, man."" Isn't that what you're supposed to do at a party?",0
What's this?,0
"Why, don't you?",0
You know who The Raincoats are?,0
"You know, these guys are no Bikini Kill or The Raincoats, but they're right up there.",0
Do you mind?  You're sort of ruining it for me.,0
"That's what you want, isn't it?",0
Excuse me?,0
"hey.  Great show, huh?",0
Depends on the topic. My fenders don't really whip me into a verbal frenzy.,0
"You're not a big talker, are you?",0
Hi,0
I was in the laundromat. I saw your car. Thought I'd say hi.,0
Are you following me?,0
Seven-thirty?,0
You -- covered in my vomit.,0
"Come on -- the ponies, the flat beer, you with money in your eyes, me with my hand on your ass...",0
And why would I do that?,0
Then say you'll spend Dollar Night at the track with me.,0
I don't really think you warrant that strong an emotion.,0
You hate me don't you?,0
I know a lot more than that,0
"Like where?  The 7-Eleven on Burnside? Do you even know my name, screwboy?",0
The night I take you to places you've never been before.  And back.,1
"Oh, right.  Friday.",0
"Pick you up Friday, then",0
My mission in life.,0
There's a way to get a guy's attention.,0
"Sweating like a pig, actually.  And yourself?",0
I mean Wo-man.  How ya doin'?,0
"Oh, Christ.  Don't tell me you've changed your mind.  I already sent 'em a check.",0
When I go?,0
"You know, fathers don't like to admit that their daughters are capable of running their own lives.  It means we've become spectators.  Bianca still lets me play a few innings.  You've had me on the bleachers for years.  When you go to Sarah Lawrence, I won't even be able to watch the game.",0
No -- impressed.,0
What's the matter?  Upset that I rubbed off on her?,0
Bianca did what?,0
The part where Bianca beat the hell out of some guy.,0
Which parts?,0
Parts of it.,0
So tell me about this dance. Was it fun?,0
"No, Daddy.",0
I don't understand the allure of dehydrated food.  Is this something I should be hip to?,1
Funny.,0
Yeah.  She left with some bikers Big ones.  Full of sperm.,0
Was that your sister?,0
I want to go to an East Coast school! I want you to trust me to make my own choices.  I want --,0
You're eighteen.  You don't know what you want.  You won't know until you're forty-five and you don't have it.,0
So what I want doesn't matter?,0
"As a parent, that's my right",0
Because you're making decisions for me.,0
Why can't we agree on this?,0
I thought you were punishing me.,0
Is this about Sarah Lawrence? You punishing me?,1
Then tell them I had a seizure.,0
My insurance does not cover PMS,0
Enough!,0
This from someone whose diary is devoted to favorite grooming tips?,1
You decided.,0
I thought we decided you were going to school here.  At U of 0.,0
I know.,0
Just smack her now.,0
"Am I supposed to feel better? Like, right now?  Or do I have some time to think about it?",0
"No ... I believe ""heinous bitch"" is the term used most often.",1
Tempestuous?,0
The point is Kat -- people perceive you as somewhat ...,1
I still maintain that he kicked himself in the balls.  I was merely a spectator.,0
"Well, yes, compared to your other choices of expression this year, today's events are quite mild.  By the way, Bobby Rictor's gonad retrieval operation went quite well, in case you're interested.",0
Expressing my opinion is not a terrorist action.,1
"Katarina Stratford.  My, my.  You've been terrorizing Ms. Blaise again.",0
Yeah...,0
"Kat a fan, too?",0
Right.,0
"Macbeth, right?",0
Oh yeah.,0
You think?,0
Yeah.  I guess.,0
Cool pictures.  You a fan?,0
Hi.,0
Hey there.  Tired of breathing?,0
Man -- don't say shit like that to  me. People can hear you.,0
"Sweet love, renew thy force!",0
You were right. She's still pissed.,0
No - I've got a sweet-payin' job that I'm about to lose.,0
So you got cozy with she who stings?,0
I'm likin' you guys better,0
I prefer to think of it simply as an alternative to what the law allows.,0
Yeah.,0
Ever been to Club Skunk?,0
Just for now.,0
"Are you telling me I'm a -  ""non-smoker""?",0
Good enough.,0
What?!,0
We're your guys.,0
You two are gonna help me tame the wild beast?,0
"Patrick, Pat, you're not looking at the big picture.  Joey's just a pawn. We set this whole thing up so Cameron can get the girl.",0
So Dorsey can get the girl?,0
That's where we can help you.  With Kat.,0
Dorsey can plow whoever he wants. I'm just in this for the cash.,0
I think I speak correctly when I say that Cameron's love is pure.  Purer than say -- Joey Dorsey's.,1
What is it with this chick?  She have three tits?,1
"The situation is, my man Cameron here has a major jones for Bianca Stratford.",1
What plan?,0
Whatever the hell it is you're standin' there waitin' to say.,1
What?,0
Say it,0
See you next week!,0
You're completely demented.,1
"Well, you know -- there's the prestige of the job title... and the benefits package is pretty good...",1
"You weren't abused, you aren't stupid, and as far as I can tell, you're only slightly psychotic -- so why is it that you're such a fuck-up?",2
What's to discuss?,0
Why don't we discuss your driving need to be a hemorrhoid?,0
"I'm at a loss, then.  What should we talk about? Your year of absence?",0
Touch of the flu.,0
"I don't understand, Patrick.  You haven't done anything asinine this week. Are you not feeling well?",0
With the teeth of your zipper?,0
It was a bratwurst.  I was eating lunch.,0
It says here you exposed yourself to a group of freshmen girls.,0
I missed you.,0
That ' s what I thought,0
Absolutely not.,1
Did I have anything to say about it?,0
Your daughters went to the prom.,0
What just happened?,0
But -- who -- what --?,0
"Have a great time, honey!",0
Dr. Ruth?,0
"What do you wanna watch?  We've got crap, crap, crap or crap",0
Kissing?  Is that what you think happens?  Kissing isn't what keeps me up to my elbows in placenta all day.,1
"They'll dance, they'll kiss, they'll come home.  Let her go.",0
Pirate -- no question.,0
Would you rather be ravished by a pirate or a British rear admiral?,0
You're not helping.,0
Tumescent!,0
Jesus!  Can a man even grab a sandwich before you women start dilating?,0
Sarah Lawrence is on the other side of the country.,1
What's a synonym for throbbing?,0
Make anyone cry today?,0
In the microwave.,0
We're trying to get there. I hope we can.,0
"I'm sorry, Dr. Smyslov, but I'm really not at liberty to discuss this.",0
How did they manage to do that without any communication?,0
"Well, I suppose they've been having a bit of trouble with some of the equipment.",0
She's wonderful.,0
"I'm afraid I've only got a few minutes, but I'd love to.",1
"Well, how nice to see you again, Elena. You're looking wonderful.",0
Roger.,0
I think I'll have to go out and burn them off.,0
I guess not.,0
"I guess you don't know your own strength, old boy.",0
I didn't do that Frank. I took particular care not to freeze them.,0
"Well, now that we've got one that's actually failed, we should be able to figure out what's happened and fix it.",0
It's the last one.,0
Yes.,0
Hal?,0
"Well, I hope there's nothing wrong with the assembly on those. Other- wise we're out of business.",0
Two more.,0
Two units in four days. How many spares do we have?,0
I don't know. Hal said he thought it might be the assembly procedure.,0
No.,0
You're kidding.,0
Well... Hal's reported the AO-unit about to fail again.,0
"Oh, I'm fine, I'm wide awake. What's up?",0
Are you reasonably awake?,0
Good morning. How's it going?,0
"Anyway, it's just as well that we replace it. Better safe than sorry.",0
"Yes, but it's more likely that the tolerances on our testing gear are too low.",0
I suppose computers have been known to be wrong.,0
"Yes, I don't know what to make of it.",0
"Well, that's something.",0
"Still, all we have to do is ask Hal.",1
I guess it isn't.,0
I suppose it isn't logically impossible.,0
But not completely inconceivable?,1
I know. It would be almost inconceivable.,0
"Yes, but it's to fantastic to think that they'd keep something from us.",0
"Not really. Though, it is strange when you think about it. It didn't really make any sense to keep us apart during training.",1
That's true.,0
"Just ask Hal. It's conceivable they might keep something from us, but they'd never keep anything from Hal.",1
How?,0
"Of course, it would be very easy for us to find out now.",1
"Yes, I thought so.",0
That seems very unlikely.,1
I don't know. All I heard is that there's something about the mission we weren't told.,1
"Oh, well, apparently there's something about the mission that the sleeping beauties know that we don't know, and that's why we were trained separately and that's why they were put to sleep before they were even taken aboard.",0
"No, as a matter of fact, I didn't.",0
